Timestamp,In which age group do you belong?,Gender ,What is your native language(mother tongue)?,"""At what age did you start using social media platforms?""", ,How many hours you spend on Social Media platforms daily,What is your current status?,your organization name?,your department?,Degree,your current year of degree?,your Organization name?,Which department are you associated with?,your designation? ,Are you interested in this type of News?,"If you think it to be real, what are the reasons that lead you to this conclusion? select all","If you think it to be fake , what are the reasons that lead you to this conclusion?", ,"why the first one  real, and the second one is fake.","why you believed the second one was real, and the first one is fake.","When you encounter these posts on Instagram, what thoughts come to your mind?",What leads you to believe that the first one is real while considering the other two as rumors?,What leads you to believe that the first one is rumor while considering the other two as real news?,"When you encounter alarming and threatening messages and notifications on WhatsApp, what are your thoughts regarding them? ",Why do you believe it to be authentic?,Why do you not believe it to be authentic?,Are you interested in these type of news ,why you find it real?,"""Why do you believe the news is fake?""",select the correct option.,"""When you encounter this notification in the WhatsApp university group about tomorrow , what were your thoughts about it?""",if you find it real what you do?,if you find it fake What you will do,"""When you receive a notification about tomorrow from a colleague or any class student , what thoughts come to mind?""",What will you do when you find it real,What is your next step after finding it fake ,Are you interested in this post?,"if you have a desire to buy a car and you are encounter a Facebook post in which a seller wants to sell a car at a low price, what would you do? 

""For sale: Car price 8 lakh.""","after confirming its authenticity ""What would you do if the seller invites you to visit an underdeveloped area like Ghotki, Sindh to see the car?""",why do you think it might be fake?,Are you interested in this post ? ,what are the reasons for believing them.,why you think it might be fake ,Are you interested in this post ?,"if you encounter this news with such comments
·         Quetta ma ya nai poncho ya jhoot ha.
·         Allah raham kara. 
·         Asa kuch nai ha ya jhoot ha. 
·         Mara czn ko be ho gaya ha kindly koi bata sakta ha is sa khud ko kasa bachay. 
·         #Fake news.
·         Hahaha logo ka pass koi or kam nai jhooti khabara phalana ka elawa. 
Do you believe on it ?","if you encounter this news with such comments
·         Earka-e-gullab istamal karna sa app ke ankha bach sakte han
·         Quetta maryabad pink eye virus ka 10 suspects Banazir hospital ma admit han 
·         Ya rumor ha khayali makhloook ke sazish ha 
·         Pyaz katna na app ke ankho ka virus khatam ho sakt ha 
·         Pink eye virus Nawaz sharif ka mukabala nai kar sakta wo zada bara masla ha
.      Mint ka pataa ko pani ma bhego kar ankho dhona sa virus ka khatma ho sakta ha 

Do you believe on it ?","if you encounter this news with such comments
·         Covid ke waja sa mun cover karna tha ab is ke waja sa ankha be band kar la ya logo ke sazish ha taka hum dunya ma hona wala zulm ko zakh na saka 
·         Allah sab ke madad farmay 
·         Zada sa zada carrot ka istamal kara or bila zarorat bahar na nikla
·         Ya sab jhoot ha asas kuch nai ha ma khud doctor hun 
·         Ankho par kheeera rakhna sa virus khatam ho jay ga.
·         Fake news check the authentic source of updates.

Do you believe on it ?","You use Facebook and Instagram, while your friend uses WhatsApp and Twitter. In total, both of you use how many apps.(2+2)","When you determine that the news is real, what will you do?",Why you want to share it.,"When you observe a Fake news, what will you do?",why do you comment on a post.,how can you authenticate a news?
2023/10/23 9:49:10 PM GMT+5,18-24,Male,Balochi ,13-18,Whatsapp;Facebook;Instagram,1 to 3 hours,Student,,Computer Science,bachelors,4 year,,,,Yes i am intreasted,Because of the name of the source is known for you?,Because of the source name is not known for you?,"You believed the first one is real, and the second one is fake.","Because of the name of the source ""GEO NEWS"" is known and  ""KALINGA TV"" is not",,first one is real and other two are rumors.,source of the first post is known for me,,I check other sources to confirm,,,No i am not,,,student,I find it real,Would confirm from officials ,,,,,Yes i am interasted,"""I'm trying to contact the seller to verify its authenticity.""",you request for viewing cars in your local area,,no i am not,,,NO i am not,,,,4 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,"I would see the source if found it fake or source not mentioned , then i would ask for the source",To tell my opinion,By finding on Authentic websites
2023/10/23 9:49:28 PM GMT+5,25-34,Male,Pashto ,13-18,Whatsapp;Facebook;Other,1 to 3 hours,Student,,Computer Science,bachelors,4 year,,,,Yes i am intreasted,"Because of the name of the source is known for you?;Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.;Because I'm worried about my safety and the possibility of financial loss.",,both are fake,,,I do not use Instagram,,,FAKE NEWS,,They are never true.,No i am not,,,student,I find it real,share with other university WhatsApp groups,,,,,NO i am not,,,,no i am not,,,Yes i am,No,No,No,4 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,share it with other sources to inform about fake news,To tell my opinion,By fact-checking
2023/10/23 9:54:18 PM GMT+5,18-24,Male,Pashto,13-18,Whatsapp;Instagram;Twitter,4 to 6 hours,Student,,Computer science,bachelors,4 year,,,,Yes i am intreasted,"Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.",Because of the source name is not known for you?,both are real,,,I do not use Instagram,,,REAL NEWS,Because of the mentioned name and signature of the authentic body,,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",I don't believe ,student,I find it real,Nothing,,,,,Yes i am interasted,"""Check the comments to verify its authenticity.""",ignore it,,no i am not,,,Yes i am,No,No,No,4 social media apps,"""Leave a positive comment on it?""",I share content on social media to positively aware and inform others.,Authenticate it from other sources?,to aware and inform other,By finding on Authentic websites
2023/10/23 10:12:06 PM GMT+5,18-24,Male,Punjabi ,13-18,Whatsapp;Facebook;Instagram;Twitter,4 to 6 hours,Student,,Computer Science ,bachelors,4 year,,,,Yes i am intreasted,"Because of the name of the source is known for you?;Because of Retweets , Views and Likes?;Because of the account Blue Tick?;Because I'm worried about my safety and the possibility of financial loss.",,both are real,,,I do not use Instagram,,,REAL NEWS,Because of the mentioned name and signature of the authentic body,,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",Real ,student,I find it real,share with other university WhatsApp groups,,,,,Yes i am interasted,"""I think it might be fake, so I'm ignoring it.""",,Very low price ,no i am not,,,Yes i am,No,yes,yes,2 social media apps,ignore it,Dont share ,ignore it,to aware and inform other,By finding on Authentic websites
2023/10/23 10:21:37 PM GMT+5,18-24,Female,Baltistani ,19-24,Whatsapp;Facebook;Instagram,4 to 6 hours,Student,,Chemistry ,bachelors,3 year,,,,No i am not,,,,,,,,,,,,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",Because it share through unofficial pages ,student,I find it real,share with other university WhatsApp groups,,,,,Yes i am interasted,"""Check the comments to verify its authenticity.""",ignore it,,Yes i am intreasted,By checking the positive comments about them,If it have less followers less likes no reviews than obviously it's fake ,Yes i am,No,No,No,,Share it with others ?,I share content on social media to positively aware and inform others.,ignore it,to aware and inform other,By fact-checking
2023/10/23 10:23:57 PM GMT+5,18-24,Male,Balochi,13-18,Whatsapp;Instagram,4 to 6 hours,Student,,Computer science ,bachelors,3 year,,,,No i am not,,,,,,,,,,,,Yes i am intreasted,"""Due to the fear of experiencing gas load shedding issues.""",Because news we listen there is only rumors or fake,Teacher,,,,Real,share in students group,,NO i am not,,,,no i am not,,,Yes i am,No,No,yes,,Share it with others ?,I share content on social media to positively aware and inform others.,share it with other sources to inform about fake news,To tell my opinion,By fact-checking
2023/10/23 10:28:45 PM GMT+5,18-24,Female,Balte,13-18,Whatsapp;Facebook;Instagram;Other,more than 12 hours,Student,,Urdu lecture,bachelors,2 year,,,,No i am not,,,,,,,,,,,,No i am not,,,student,I find it real,share with my friends ,,,,,NO i am not,,,,Yes i am intreasted,Source name is known for you,I don't know ,NO i am not,,,,,Share it with others ?,I share content on social media to positively aware and inform others.,ignore it,to pass time,sending a message to sincere relatives and asking please assist you.
2023/10/23 10:38:26 PM GMT+5,18-24,Female,Punjabi ,13-18,Whatsapp;Facebook;Instagram,7 to 9 hours,Student,,BBA,bachelors,1 year,,,,No i am not,,,,,,,,,,,,No i am not,,,student,I find it real,share with other university WhatsApp groups,,,,,NO i am not,,,,Yes i am intreasted,Its look attractive,No,NO i am not,,,,,Share it with others ?,I share content on social media to positively aware and inform others.,ignore it,to pass time,sending a message to sincere relatives and asking please assist you.
2023/10/23 10:50:22 PM GMT+5,18-24,Male,Balochi,13-18,Facebook,7 to 9 hours,Student,,Biochemistry ,bachelors,4 year,,,,No i am not,,,,,,,,,,,,Yes i am intreasted,"""Due to the fear of experiencing gas load shedding issues.""",Because of rumors ,Other,,,,,,,NO i am not,,,,Yes i am intreasted,By checking the positive comments about them,People are deceiving now a days,Yes i am,yes,No,No,,Share it with others ?,I share content on social media to positively aware and inform others.,Leave a  negative comment with #fake news,to aware and inform other,By fact-checking
2023/10/23 10:53:55 PM GMT+5,18-24,Female,Brahvi,13-18,Whatsapp;Facebook;Instagram,10 to 12 hours,Student,,Computer science ,bachelors,4 year,,,,Yes i am intreasted,"Because of Retweets , Views and Likes?;Because of reading the positive quotes on it?",Because of the source name is not known for you?,"You believed the first one is real, and the second one is fake.","Because of the name of the source ""GEO NEWS"" is known and  ""KALINGA TV"" is not",,first one is real and other two are rumors.,My belief is based on the higher number of likes and comments on the first post in comparison to the other two.,,REAL NEWS,Because of the mentioned name and signature of the authentic body,,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",Wrong information ,student,I find it real,share with other university WhatsApp groups,,,,,NO i am not,,,,Yes i am intreasted,By checking the positive comments about them,Don't know ,Yes i am,No,No,No,4 social media apps,"""Leave a positive comment on it?""",I share content on social media to positively aware and inform others.,Leave a  negative comment with #fake news,To tell my opinion,By fact-checking
2023/10/23 10:57:04 PM GMT+5,18-24,Male,Balochi ,19-24,Whatsapp;Facebook;Instagram;Twitter;Other,4 to 6 hours,Student,,Biochemistry ,bachelors,4 year,,,,No i am not,,,,,,,,,,,,No i am not,,,student,I considered it fake,,Wait for any updates from teachers,,,,NO i am not,,,,no i am not,,,NO i am not,,,,,Share it with others ?,I share content on social media to positively aware and inform others.,ignore it,To tell my opinion,sending a message to sincere relatives and asking please assist you.
2023/10/23 11:48:24 PM GMT+5,18-24,Female,Balti,13-18,Whatsapp;Facebook;Instagram,10 to 12 hours,Student,,IT,bachelors,1 year,,,,Yes i am intreasted,"Because of the name of the source is known for you?;Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.;Because of Retweets , Views and Likes?;Because of the account Blue Tick?;Because of account Followers are huge for you?;Because of reading the positive quotes on it?;Because I'm worried about my safety and the possibility of financial loss.;",Because of the followers are not enough for you?,"You believed the second one was real, and the first one is fake.",,Because i personally verify and read that news,first one is real and other two are rumors.,source of the first post is known for me,,REAL NEWS,Because of the mentioned name and signature of the authentic body,,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",I don't believe that yhe news was fake. Some of them shall be fake but after seeing authorities signatire i didn't find it fake,student,I find it real,share with other university WhatsApp groups,,,,,NO i am not,,,,no i am not,,,Yes i am,No,No,No,4 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,share it with other sources to inform about fake news,to aware and inform other,By finding on Authentic websites
2023/10/24 12:03:41 AM GMT+5,18-24,Female,Farsi,13-18,Whatsapp;Instagram,1 to 3 hours,Student,,Computer science,bachelors,1 year,   ,,,No i am not,,,,,,,,,,,,No i am not,,,student,I considered it fake,,ignore it,,,,NO i am not,,,,no i am not,,,NO i am not,,,,,ignore it,I share content on social media casually to pass the time and combat boredom and for entertainment. .,share it with other sources to inform about fake news,To tell my opinion,By finding on Authentic websites
2023/10/24 12:12:54 AM GMT+5,18-24,Male,Balochi,13-18,Whatsapp;Facebook;Instagram;Twitter;Other,7 to 9 hours,Employed,,,,,,BBISE RAKHSHAN BRANCH KHARAN,,Yes i am intreasted,"Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.;Because of the account Blue Tick?;Because I'm worried about my safety and the possibility of financial loss.",Because of reading the negative quotes  on it,"You believed the second one was real, and the first one is fake.",,"Because ""GEO NEWS"" have 166k followers and ""KALINGA TV"" have 481k followers and blue tick",first one is real and other two are rumors.,My belief is based on the higher number of likes and comments on the first post in comparison to the other two.,,REAL NEWS,Because of the mentioned name and signature of the authentic body,,Yes i am intreasted,"""Due to the fear of experiencing gas load shedding issues.""",Because they are willing to be famous and viral there for they are making fake news,student,I find it real,share with other university WhatsApp groups,,,,,Yes i am interasted,"""I think it might be fake, so I'm ignoring it.""",,Because this car can't be on  8 lac and if it is in 8 lac so it must be a fraud ,no i am not,,,Yes i am,No,No,No,6 social media apps,Share it with others ?,i share content on social media because i encounter the same news from different sources and platforms,ignore it,To tell my opinion,sending a message to sincere relatives and asking please assist you.
2023/10/24 10:04:18 AM GMT+5,18-24,Female,Balti,13-18,Whatsapp;Facebook;Instagram,4 to 6 hours,Student,,Computer science,bachelors,2 year,,,,Yes i am intreasted,"Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.",Because of reading the negative quotes  on it,"You believed the first one is real, and the second one is fake.","Because of the name of the source ""GEO NEWS"" is known and  ""KALINGA TV"" is not",,first one is real and other two are rumors.,My belief is based on the higher number of likes and comments on the first post in comparison to the other two.,,REAL NEWS,Because of the mentioned name and signature of the authentic body,,Yes i am intreasted,"""Due to the fear of experiencing gas load shedding issues.""",Because the source name is not known for me,Teacher,,,,Fake,,Try to authenticate from administration and other colleges.,NO i am not,,,,Yes i am intreasted,By checking the positive comments about them,because of negative comments about them,NO i am not,,,,4 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,Authenticate it from other sources?,To tell my opinion,By finding on Authentic websites
2023/10/24 10:11:12 AM GMT+5,18-24,Female,Urdu,13-18,Whatsapp,7 to 9 hours,Student,,Computer science ,bachelors,3 year,,,,No i am not,,,,,,,,,,,,Yes i am intreasted,"""Due to the fear of experiencing gas load shedding issues.""",Bcz there is no reality in it,student,I considered it fake,,Authentiate it from teachers,,,,NO i am not,,,,no i am not,,,NO i am not,,,,,Share it with others ?,I share content on social media to positively aware and inform others.,share it with other sources to inform about fake news,to aware and inform other,By finding on Authentic websites
2023/10/24 11:12:45 AM GMT+5,18-24,Male,Pashto,13-18,Whatsapp;Facebook,less then 1 hour,Student,,Bs-cs,bachelors,4 year,,,,No i am not,,,,,,,,,,,,No i am not,,,student,I find it real,share on  other social media platforms,,,,,Yes i am interasted,"""I'm trying to contact the seller to verify its authenticity.""",you request for viewing cars in your local area,,no i am not,,,NO i am not,,,,,"""Leave a positive comment on it?""",i share content on social media because i encounter the same news from different sources and platforms,Authenticate it from other sources?,to aware and inform other,By fact-checking
2023/10/24 11:14:15 AM GMT+5,18-24,Male,Balochi,13-18,Whatsapp;Facebook;Instagram;Twitter;Other,less then 1 hour,Student,,Computer science ,bachelors,2 year,,,,No i am not,,,,,,,,,,,,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",Because of propaganda.,student,I considered it fake,,Authentiate it from teachers,,,,NO i am not,,,,no i am not,,,NO i am not,,,,,"""Leave a positive comment on it?""",No i don't want to share it.,ignore it,To tell my opinion,By finding on Authentic websites
2023/10/24 11:16:01 AM GMT+5,18-24,Male,Pashto ,13-18,Whatsapp;Facebook;Instagram;Twitter,1 to 3 hours,Student,,BSIT,bachelors,1 year,,,,Yes i am intreasted,"Because of the name of the source is known for you?;Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.;Because of Retweets , Views and Likes?;Because of the account Blue Tick?;Because of account Followers are huge for you?;Because of reading the positive quotes on it?;Because I'm worried about my safety and the possibility of financial loss.",Because of reading the negative quotes  on it,both are real,,,first one is rumor and other two are real news.,,Because the sources of 2nd and 3rd are known for me,FAKE NEWS,,Fack,No i am not,,,student,I find it real,share with other university WhatsApp groups,,,,,NO i am not,,,,no i am not,,,Yes i am,yes,yes,yes,4 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,ignore it,To tell my opinion,By finding on Authentic websites
2023/10/24 12:01:28 PM GMT+5,18-24,Male,Pashto ,19-24,Whatsapp;Other,1 to 3 hours,Student,,Computer science ,bachelors,3 year,,,,No i am not,,,,,,,,,,,,Yes i am intreasted,"""Due to the fear of experiencing gas load shedding issues.""",When the prediction seems false ,Teacher,,,,Fake,,ignore it,NO i am not,,,,no i am not,,,Yes i am,yes,No,yes,,ignore it,I share content on social media to positively aware and inform others.,Leave a  negative comment with #fake news,To tell my opinion,By finding on Authentic websites
2023/10/24 12:04:17 PM GMT+5,18-24,Male,Pashto ,19-24,Whatsapp;Facebook;Instagram;Other,1 to 3 hours,Student,,Computer science ,bachelors,3 year,,,,No i am not,,,,,,,,,,,,Yes i am intreasted,"""Due to the fear of experiencing gas load shedding issues.""",Due to wrong policies ,student,I find it real,share on  other social media platforms,,,,,NO i am not,,,,no i am not,,,NO i am not,,,,,"""Leave a positive comment on it?""",I share content on social media to positively aware and inform others.,ignore it,To tell my opinion,By finding on Authentic websites
2023/10/24 12:06:00 PM GMT+5,18-24,Male,Balochi,13-18,Whatsapp;Facebook;Instagram;Other,1 to 3 hours,Student,,I.T,Masters,1 year,,,,No i am not,,,,,,,,,,,,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",Because of the source that i am getting this news from ,student,I find it real,Because it was shared from a authentic source which was uob fb group and many approved it ,,,,,NO i am not,,,,no i am not,,,NO i am not,,,,,Share it with others ?,I share content on social media to positively aware and inform others.,Authenticate it from other sources?,to aware and inform other,By fact-checking
2023/10/24 12:17:55 PM GMT+5,18-24,Male,Pashto ,13-18,Whatsapp;Facebook;Instagram;Twitter;Other,1 to 3 hours,Student,,Computer science ,bachelors,1 year,,,,No i am not,,,,,,,,,,,,Yes i am intreasted,"""Due to the fear of experiencing gas load shedding issues.""",I can't believe.,student,I find it real,share on  other social media platforms,,,,,Yes i am interasted,"""Check the comments to verify its authenticity.""",ignore it,,no i am not,,,NO i am not,,,,,"""Leave a positive comment on it?""",I share content on social media casually to pass the time and combat boredom and for entertainment. .,ignore it,to aware and inform other,sending a message to sincere relatives and asking please assist you.
2023/10/24 12:38:27 PM GMT+5,18-24,Male,Pashto ,13-18,Whatsapp;Facebook;Instagram;Twitter;Other,4 to 6 hours,Student,,Cs,bachelors,1 year,,,,No i am not,,,,,,,,,,,,No i am not,,,student,I find it real,share with other university WhatsApp groups,,,,,NO i am not,,,,no i am not,,,Yes i am,No,No,No,,"""Leave a positive comment on it?""",I share content to promote my page  and for status seeking,ignore it,To tell my opinion,By fact-checking
2023/10/24 1:06:04 PM GMT+5,18-24,Female,Balti,13-18,Whatsapp;Facebook;Instagram;Other,1 to 3 hours,Student,,Cs,bachelors,4 year,,,,No i am not,,,,,,,,,,,,No i am not,,,student,I considered it fake,,ignore it,,,,NO i am not,,,,Yes i am intreasted,Source name is known for you,Nothing,NO i am not,,,,,Share it with others ?,I share content on social media to reflect my personality and self-image.,ignore it,To tell my opinion,By finding on Authentic websites
2023/10/24 1:36:20 PM GMT+5,18-24,Male,Punjabi,13-18,Whatsapp;Facebook;Instagram,7 to 9 hours,Student,,I'm freelancer ,bachelors,4 year,,,,No i am not,,,,,,,,,,,,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",Its real ,student,I find it real,share with other university WhatsApp groups,,,,,Yes i am interasted,"""Check the comments to verify its authenticity.""",ignore it,,no i am not,,,NO i am not,,,,,Share it with others ?,I share content on social media to positively aware and inform others.,Leave a  negative comment with #fake news,To tell my opinion,By finding on Authentic websites
2023/10/24 1:56:19 PM GMT+5,18-24,Male,kaleem,13-18,Whatsapp;Facebook;Instagram;Twitter;Other,1 to 3 hours,Student,,biochemistry,bachelors,4 year,,,,No i am not,,,,,,,,,,,,No i am not,,,student,I find it real,share with other university WhatsApp groups,,,,,NO i am not,,,,no i am not,,,Yes i am,No,No,No,,Share it with others ?,I share content to promote my page  and for status seeking,share it with other sources to inform about fake news,for seeking attention.,By finding on Authentic websites
2023/10/24 3:10:39 PM GMT+5,18-24,Male,Balochi,19-24,Whatsapp;Facebook,less then 1 hour,Student,,Computer science ,bachelors,2 year,,,,No i am not,,,,,,,,,,,,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",No,student,I find it real,share with other university WhatsApp groups,,,,,NO i am not,,,,no i am not,,,NO i am not,,,,,Share it with others ?,I share content on social media to positively aware and inform others.,Leave a  negative comment with #fake news,To tell my opinion,sending a message to sincere relatives and asking please assist you.
2023/10/24 4:34:14 PM GMT+5,18-24,Female,Punjabi,13-18,Whatsapp;Facebook,1 to 3 hours,Student,,DPT,bachelors,2 year,,,,No i am not,,,,,,,,,,,,Yes i am intreasted,"""Due to the fear of experiencing gas load shedding issues.""",Because it does not have many supporting evidences,student,I considered it fake,,ignore it,,,,NO i am not,,,,no i am not,,,Yes i am,No,No,No,,Share it with others ?,I share content on social media to positively aware and inform others.,Authenticate it from other sources?,To tell my opinion,sending a message to sincere relatives and asking please assist you.
2023/10/24 6:14:57 PM GMT+5,18-24,Male,Sindhi,13-18,Whatsapp;Facebook;Instagram;Twitter,4 to 6 hours,Student,,Cs,bachelors,1 year,,,,Yes i am intreasted,"Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.",Because of the source name is not known for you?,"You believed the second one was real, and the first one is fake.",,"Because ""GEO NEWS"" have 166k followers and ""KALINGA TV"" have 481k followers and blue tick",first one is real and other two are rumors.,My belief is based on the higher number of likes and comments on the first post in comparison to the other two.,,REAL NEWS,Because of the mentioned name and signature of the authentic body,,No i am not,,,Teacher,,,,Real,share in students group,,NO i am not,,,,no i am not,,,Yes i am,yes,No,No,4 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,Leave a  negative comment with #fake news,To tell my opinion,By fact-checking
2023/10/24 7:11:49 PM GMT+5,18-24,Female,Bravi,13-18,Whatsapp;Instagram;Twitter,1 to 3 hours,Student,,IT ,bachelors,2 year,,,,Yes i am intreasted,"Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.",Because of reading the negative quotes  on it,"You believed the first one is real, and the second one is fake.","Because of the name of the source ""GEO NEWS"" is known and  ""KALINGA TV"" is not",,first one is rumor and other two are real news.,,Because the sources of 2nd and 3rd are known for me,FAKE NEWS,,Irrelevant source ,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",No,student,I find it real,share with other university WhatsApp groups,,,,,NO i am not,,,,no i am not,,,Yes i am,No,No,No,4 social media apps,"""Leave a positive comment on it?""",I share content on social media to positively aware and inform others.,share it with other sources to inform about fake news,To tell my opinion,By fact-checking
2023/10/24 8:26:33 PM GMT+5,18-24,Female,Pashto ,19-24,Whatsapp,1 to 3 hours,Student,,Computer science and IT,bachelors,4 year,,,,Yes i am intreasted,Because of the account Blue Tick?,Because of reading the negative quotes  on it,I do not use Facebook,,,I do not use Instagram,,,REAL NEWS,Because of the mentioned name and signature of the authentic body,,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",Just because of signature I believe that it would be real not fake,student,I find it real,share with other university WhatsApp groups,,,,,NO i am not,,,,Yes i am intreasted,Due to the blue tick means it has a lot of followers.,Just because of many things and less price ,NO i am not,,,,2 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,Authenticate it from other sources?,to aware and inform other,By finding on Authentic websites
